CustId,Education,MaritalStat,AnnualInc,NumKids,NumTeen,DateEnrol,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Age,Age Group,Income Bracket
89,Undergraduate,Married,22212.0,1,0,2013-09-12,49,5,9,20,6,8,2,2,0,4,6,0,0,0,0,0,0,46,40-50,20K-30K
92,Graduation,Alone,34176.0,1,0,2014-12-05,12,5,7,24,19,14,4,3,0,4,6,0,0,0,0,0,0,33,30-40,30K-40K
113,Graduation,Married,30833.0,1,1,2013-07-16,33,11,0,7,3,1,2,1,0,3,5,0,0,0,0,0,0,70,60-70,30K-40K
115,Master,Single,43456.0,0,1,2013-03-26,0,275,11,68,25,7,3,5,1,8,5,0,0,0,0,0,0,55,50-60,40K-50K
123,Graduation,Widow,67046.0,0,1,2013-06-01,92,544,35,133,23,151,2,4,5,4,2,0,0,0,0,0,0,70,60-70,60K-70K
125,Undergraduate,Together,53083.0,1,1,2013-05-15,65,215,7,33,3,0,6,5,1,5,7,0,1,0,0,0,0,63,60-70,50K-60K
143,Graduation,Single,61209.0,0,0,2013-08-25,73,466,0,224,119,49,1,5,3,4,2,0,0,0,0,0,0,51,50-60,60K-70K
146,PhD,Single,76045.0,0,0,2013-11-15,78,760,53,400,17,93,1,4,5,11,2,0,0,0,1,0,0,61,60-70,70K-80K
153,Graduation,Divorced,23272.0,0,0,2013-10-17,29,19,3,6,4,2,1,1,0,3,4,0,0,0,0,0,0,68,60-70,20K-30K
158,PhD,Together,71604.0,0,0,2013-11-17,3,345,53,528,98,75,1,8,3,5,4,1,0,0,0,0,0,76,70-80,70K-80K
164,PhD,Married,28973.0,0,0,2012-10-13,59,206,0,46,3,2,2,5,1,5,8,0,0,0,0,0,0,44,40-50,20K-30K
175,Graduation,Married,71952.0,1,0,2013-10-01,93,656,80,455,52,107,2,8,4,8,4,1,0,1,0,0,0,35,30-40,70K-80K
176,Undergraduate,Single,67506.0,0,1,2014-02-01,73,90,38,67,33,36,1,4,1,6,3,0,0,0,0,0,0,41,40-50,60K-70K
178,Graduation,Married,62503.0,0,1,2013-02-18,40,478,0,193,110,75,4,8,3,11,5,0,0,0,0,0,0,65,60-70,60K-70K
182,PhD,Together,44124.0,0,1,2013-11-05,62,284,0,55,0,6,4,6,2,5,8,0,0,0,0,0,0,75,70-80,40K-50K
193,Basic,Married,14421.0,0,0,2014-02-17,81,0,0,2,3,3,1,1,0,2,5,1,0,0,0,0,0,25,20-30,Below 20K
194,Graduation,Married,48006.0,1,1,2014-09-06,55,23,0,11,3,2,1,1,0,3,6,0,0,0,0,0,0,56,50-60,40K-50K
195,Graduation,Single,38808.0,1,0,2012-08-26,21,125,17,52,3,19,4,5,1,4,8,1,0,0,0,0,0,49,40-50,30K-40K
199,Master,Single,45183.0,0,0,2013-01-20,33,219,3,60,12,9,1,4,1,7,7,0,1,0,0,0,0,59,50-60,40K-50K
202,PhD,Widow,82032.0,0,0,2014-05-04,54,332,194,377,149,125,0,4,6,7,1,0,0,0,0,0,0,73,70-80,80K-90K
203,Master,Single,81169.0,0,0,2013-04-14,47,1288,20,613,80,61,1,5,7,9,2,0,0,0,0,0,0,46,40-50,80K-90K
213,PhD,Single,23091.0,1,1,2014-05-28,98,35,0,11,0,0,4,2,1,3,7,0,0,0,0,0,0,58,50-60,20K-30K
217,Master,Single,64857.0,0,0,2012-11-23,78,556,14,717,210,0,1,7,5,10,4,0,0,0,0,0,0,65,60-70,60K-70K
221,Graduation,Married,48726.0,0,1,2013-04-27,90,138,3,38,4,0,3,3,2,4,6,0,0,0,0,0,0,66,60-70,40K-50K
231,Master,Together,28839.0,1,1,2014-11-03,86,24,0,7,0,0,2,2,0,3,5,0,0,0,0,0,0,65,60-70,20K-30K
232,Graduation,Single,61559.0,0,1,2013-07-17,8,279,83,88,32,14,1,4,2,10,3,0,0,0,0,0,0,56,50-60,60K-70K
234,Graduation,Divorced,15287.0,1,0,2012-10-10,60,1,2,8,4,3,2,1,1,2,7,1,0,0,0,0,0,42,40-50,Below 20K
236,Graduation,Married,34838.0,1,1,2013-01-19,62,28,23,29,29,14,3,2,1,4,6,0,0,0,0,0,0,70,60-70,30K-40K
238,Undergraduate,Together,67309.0,1,1,2013-01-23,76,515,47,181,149,95,15,9,6,9,7,0,0,0,0,0,0,54,50-60,60K-70K
241,Graduation,Together,83844.0,0,0,2013-12-05,57,901,31,345,75,31,1,4,4,11,1,0,0,1,0,0,0,69,60-70,80K-90K
246,Graduation,Married,66480.0,1,1,2014-05-31,71,199,9,57,20,21,7,4,1,7,4,0,0,0,0,0,0,56,50-60,60K-70K
247,Graduation,Married,36715.0,1,0,2012-11-17,16,172,10,125,21,13,6,7,2,4,9,0,0,0,0,0,0,50,40-50,30K-40K
252,PhD,Divorced,41003.0,0,0,2013-03-17,11,123,133,142,71,44,1,6,2,8,6,0,0,0,0,0,0,58,50-60,40K-50K
254,Graduation,Together,53863.0,0,1,2014-05-17,4,399,4,30,6,4,3,7,1,7,7,0,1,0,0,0,0,66,60-70,50K-60K
255,Graduation,Divorced,22263.0,1,1,2014-03-30,31,17,0,2,0,0,2,1,0,3,6,0,0,0,0,0,1,70,60-70,20K-30K
257,PhD,Married,75032.0,0,1,2013-04-28,74,952,12,180,47,12,2,5,4,9,3,0,0,0,0,0,0,62,60-70,70K-80K
263,PhD,Single,45576.0,0,0,2014-05-28,9,56,19,29,2,14,1,3,1,3,8,0,0,0,0,0,0,76,70-80,40K-50K
269,PhD,Single,46757.0,0,1,2012-11-16,71,777,30,163,0,51,6,4,4,7,9,0,0,0,0,0,0,58,50-60,40K-50K
271,Graduation,Widow,40590.0,1,1,2013-02-10,30,154,0,50,6,11,5,3,4,3,6,1,0,0,0,0,0,52,50-60,40K-50K
273,Master,Married,36138.0,1,1,2013-07-16,48,130,0,16,0,0,5,3,1,4,7,0,1,0,0,0,0,51,50-60,30K-40K
274,Graduation,Single,34853.0,1,1,2013-12-23,75,9,3,15,2,3,2,2,0,3,6,0,0,0,0,0,0,48,40-50,30K-40K
286,Graduation,Single,44213.0,1,1,2013-11-29,48,95,11,35,0,4,4,2,1,5,6,0,0,0,0,0,0,69,60-70,40K-50K
291,Graduation,Married,72940.0,0,0,2013-06-19,13,182,74,298,162,149,1,3,3,6,1,0,0,0,0,0,0,51,50-60,70K-80K
295,Graduation,Single,81217.0,0,0,2013-07-19,77,493,70,324,146,40,1,3,7,11,1,0,0,0,0,0,0,32,30-40,80K-90K
304,Master,Single,22944.0,1,0,2013-12-23,67,19,3,19,4,5,3,3,0,3,7,0,0,0,0,0,0,40,30-40,20K-30K
309,PhD,Together,63342.0,0,1,2012-10-16,48,918,21,118,13,10,3,8,3,5,6,0,1,0,0,0,0,60,50-60,60K-70K
310,Master,Married,61872.0,0,1,2013-12-13,81,330,5,159,36,27,4,4,4,9,4,0,0,0,0,0,0,51,50-60,60K-70K
313,Graduation,Widow,73455.0,0,0,2013-10-28,98,901,61,757,186,163,1,6,5,10,3,0,1,0,0,0,0,53,50-60,70K-80K
322,Graduation,Together,42554.0,1,1,2013-12-01,93,29,1,11,0,0,2,2,0,3,4,0,0,0,0,0,0,43,40-50,40K-50K
326,Graduation,Married,51148.0,1,1,2013-02-18,38,235,6,45,8,9,4,5,1,6,6,0,0,0,0,0,0,48,40-50,50K-60K
332,Graduation,Married,47743.0,0,1,2013-03-22,56,198,2,43,0,12,3,4,1,6,6,0,1,0,0,0,0,64,60-70,40K-50K
339,PhD,Married,57091.0,0,1,2012-11-23,82,462,0,24,6,0,2,9,2,5,7,0,1,0,0,0,0,49,40-50,50K-60K
340,Graduation,Divorced,72967.0,0,1,2012-12-15,1,158,35,179,0,0,2,7,2,8,5,1,0,0,0,0,0,51,50-60,70K-80K
347,Graduation,Divorced,40780.0,0,1,2012-08-09,30,229,27,71,13,3,4,7,1,5,9,0,0,0,0,0,0,45,40-50,40K-50K
359,Graduation,Together,48070.0,0,1,2013-01-13,33,373,14,83,6,9,3,8,2,6,7,0,0,0,0,0,1,71,70-80,40K-50K
361,Master,Married,43142.0,1,1,2014-02-18,84,5,1,7,2,1,1,1,0,2,7,0,0,0,0,0,0,52,50-60,40K-50K
367,Undergraduate,Married,36550.0,1,0,2013-02-19,74,47,90,94,123,103,5,9,1,5,9,0,0,0,0,0,0,43,40-50,30K-40K
368,Graduation,Married,40049.0,0,1,2012-11-29,61,91,65,52,10,44,3,3,2,6,5,0,0,0,0,0,0,47,40-50,40K-50K
375,Graduation,Divorced,76773.0,0,0,2013-02-25,79,516,56,449,86,33,1,2,2,11,1,0,0,0,0,0,0,67,60-70,70K-80K
378,Graduation,Married,52531.0,0,0,2012-12-30,68,283,112,151,51,72,2,7,2,10,6,0,0,0,0,0,0,50,40-50,50K-60K
380,Graduation,Divorced,64497.0,0,1,2012-10-09,17,1170,48,320,42,32,5,11,4,9,8,1,0,0,0,0,0,67,60-70,60K-70K
387,Basic,Married,7500.0,0,0,2012-11-13,59,6,16,11,11,1,1,2,0,3,8,0,0,0,0,0,0,45,40-50,Below 20K
405,Graduation,Divorced,41638.0,0,1,2013-02-13,68,315,0,31,4,0,4,5,5,3,8,1,0,0,0,0,0,57,50-60,40K-50K
425,Graduation,Married,55357.0,2,0,2013-02-19,66,374,64,116,84,25,3,6,2,11,5,0,0,0,0,0,0,36,30-40,50K-60K
433,Master,Alone,61331.0,1,1,2013-10-03,42,534,5,47,0,5,5,11,1,6,8,0,0,0,0,0,0,63,60-70,60K-70K
437,Master,Divorced,75012.0,0,0,2014-01-25,41,294,142,218,164,58,1,3,8,11,1,0,0,0,0,0,0,45,40-50,70K-80K
448,PhD,Single,54880.0,1,0,2013-01-03,57,308,85,137,102,45,2,6,2,11,5,0,0,0,0,0,0,43,40-50,50K-60K
450,Master,Together,42315.0,0,1,2013-12-07,90,67,15,80,17,11,3,1,4,4,3,0,0,0,0,0,0,63,60-70,40K-50K
451,Graduation,Single,9255.0,1,0,2013-12-20,91,9,0,7,2,0,1,1,1,2,8,0,0,0,0,0,0,32,30-40,Below 20K
453,PhD,Widow,35340.0,1,1,2014-06-29,1,27,0,12,0,1,2,2,0,3,5,0,0,0,0,0,0,65,60-70,30K-40K
454,Graduation,Together,69508.0,1,0,2012-11-14,48,824,32,162,42,32,2,11,4,11,6,0,0,0,0,0,0,41,40-50,60K-70K
455,PhD,Married,51012.0,0,0,2013-04-18,86,102,9,63,2,9,1,4,1,4,6,0,0,0,0,0,0,75,70-80,50K-60K
456,Undergraduate,Married,7500.0,1,0,2013-07-02,96,1,11,5,4,6,2,2,0,3,8,0,0,0,0,0,0,35,30-40,Below 20K
460,PhD,Married,79930.0,0,0,2012-08-08,72,792,86,740,67,51,1,3,5,8,2,0,0,0,0,0,0,49,40-50,70K-80K
466,Graduation,Married,65275.0,0,0,2013-03-04,9,388,14,218,91,14,1,4,3,13,2,0,0,0,0,0,0,77,70-80,60K-70K
477,Graduation,Married,83512.0,0,0,2014-06-17,31,1060,61,835,80,20,1,4,7,10,1,1,0,1,1,1,0,35,30-40,80K-90K
486,Graduation,Married,84219.0,0,0,2014-02-02,27,434,137,400,45,137,1,3,4,10,1,0,0,0,0,0,0,33,30-40,80K-90K
492,PhD,Married,48432.0,0,1,2012-10-18,3,322,3,50,4,3,5,7,1,6,8,0,0,0,0,0,0,48,40-50,40K-50K
498,Graduation,Single,30015.0,1,0,2014-02-02,28,25,0,22,2,3,2,1,0,4,5,0,0,0,0,0,0,51,50-60,30K-40K
500,Graduation,Together,96876.0,0,0,2013-06-08,79,908,43,735,40,194,1,7,7,9,2,0,1,1,1,0,0,44,40-50,90K-100K
503,Master,Married,20559.0,1,0,2013-12-03,88,13,1,29,3,0,2,2,0,3,8,0,0,0,0,0,0,36,30-40,20K-30K
520,Graduation,Married,34421.0,1,0,2013-01-07,81,3,3,7,6,2,1,1,0,2,7,0,0,0,0,0,0,47,40-50,30K-40K
521,Graduation,Together,54006.0,1,0,2012-09-18,42,174,77,203,6,24,2,8,1,7,7,0,0,0,0,0,0,36,30-40,50K-60K
523,Graduation,Married,37155.0,1,0,2013-01-31,51,23,0,26,7,15,1,2,0,4,5,0,0,0,0,0,0,32,30-40,30K-40K
524,Basic,Together,22634.0,0,0,2013-01-16,47,2,23,11,8,6,1,2,1,2,8,0,0,0,0,0,0,55,50-60,20K-30K
528,Graduation,Married,65819.0,0,0,2012-11-29,99,267,38,701,149,165,1,5,4,10,3,0,0,0,0,0,0,43,40-50,60K-70K
531,PhD,Divorced,57333.0,0,1,2012-09-22,55,941,14,397,76,58,11,8,5,9,6,0,0,0,0,0,0,67,60-70,50K-60K
535,Graduation,Divorced,81361.0,0,0,2014-02-25,18,163,23,424,27,65,1,3,10,13,1,0,0,0,0,0,0,34,30-40,80K-90K
538,Graduation,Single,46107.0,1,0,2014-10-02,78,31,9,27,16,9,1,1,1,4,3,0,0,0,0,0,0,32,30-40,40K-50K
544,Graduation,Married,62820.0,0,0,2013-11-05,51,398,61,265,138,61,1,3,4,6,1,0,0,0,0,0,0,67,60-70,60K-70K
550,Graduation,Divorced,62335.0,0,1,2013-05-23,87,243,131,217,85,6,2,3,3,13,2,0,0,0,0,0,0,69,60-70,60K-70K
564,PhD,Together,56937.0,1,0,2012-04-08,81,746,8,125,11,8,7,8,6,9,6,0,1,0,0,0,0,40,30-40,50K-60K
569,Graduation,Single,90273.0,0,0,2013-12-14,32,704,129,853,120,74,1,5,6,7,2,0,1,1,1,0,0,30,20-30,90K-100K
574,Graduation,Married,42523.0,0,0,2014-04-23,96,14,36,11,3,26,1,1,1,4,2,0,0,0,0,0,0,57,50-60,40K-50K
577,Undergraduate,Together,26907.0,1,1,2013-08-20,10,9,1,7,0,3,2,1,0,3,7,0,0,0,0,0,0,45,40-50,20K-30K
590,Master,Divorced,78579.0,0,0,2012-12-22,35,816,66,549,216,66,1,5,6,4,3,0,0,0,0,0,0,51,50-60,70K-80K
591,Graduation,Widow,66033.0,0,1,2013-01-20,76,293,35,179,46,59,2,8,3,7,7,0,0,0,0,0,0,64,60-70,60K-70K
606,Graduation,Single,25930.0,1,1,2013-10-10,87,6,1,2,2,0,1,1,0,2,7,0,0,0,0,0,0,54,50-60,20K-30K
607,Undergraduate,Divorced,41769.0,0,1,2013-02-13,31,302,29,131,32,0,6,8,1,7,8,0,0,0,0,0,0,66,60-70,40K-50K
610,PhD,Together,53593.0,1,1,2012-07-08,60,349,4,78,6,0,8,7,2,6,8,0,0,0,0,0,0,68,60-70,50K-60K
615,Graduation,Together,30507.0,0,0,2013-11-03,29,65,36,74,38,20,1,5,1,4,7,0,0,0,0,0,0,61,60-70,30K-40K
618,PhD,Married,69389.0,0,1,2012-09-28,17,422,7,238,69,46,1,7,2,12,4,0,0,0,0,0,0,44,40-50,60K-70K
624,Master,Single,18890.0,0,0,2012-10-11,5,6,4,1,7,2,1,0,1,2,6,1,0,0,0,0,0,37,30-40,Below 20K
626,Graduation,Married,32871.0,1,1,2013-09-03,28,22,2,12,0,2,1,1,0,3,4,0,0,0,0,0,0,70,60-70,30K-40K
635,Master,Married,57183.0,1,1,2013-03-19,51,464,5,64,7,0,8,9,1,7,8,0,0,0,0,0,0,55,50-60,50K-60K
640,Graduation,Married,57304.0,0,1,2013-11-03,61,356,80,329,138,17,2,7,6,10,5,0,0,0,0,0,0,70,60-70,50K-60K
641,Graduation,Single,52074.0,0,1,2014-04-04,77,59,0,12,0,0,1,2,2,2,4,1,0,0,0,0,0,54,50-60,50K-60K
642,Basic,Married,16005.0,1,0,2012-08-14,69,1,3,2,20,30,3,2,1,2,8,0,0,0,0,0,0,41,40-50,Below 20K
663,PhD,Single,33996.0,0,0,2013-11-09,46,40,2,15,8,0,1,1,1,3,4,0,0,0,0,0,0,32,30-40,30K-40K
675,Master,Divorced,52034.0,1,1,2013-05-17,67,146,0,93,7,13,5,4,2,5,7,0,0,0,0,0,0,48,40-50,50K-60K
679,PhD,Married,37633.0,1,1,2012-09-20,49,13,4,20,0,0,2,1,0,3,9,0,0,0,0,0,0,64,60-70,30K-40K
692,Graduation,Together,36807.0,1,1,2012-12-20,88,4,2,5,0,0,1,1,0,2,6,0,0,0,0,0,0,67,60-70,30K-40K
697,Graduation,Together,74918.0,0,0,2013-12-03,78,972,59,913,25,19,1,5,9,6,3,0,0,1,0,0,0,52,50-60,70K-80K
701,Graduation,Married,73691.0,0,1,2013-06-11,58,707,21,250,85,43,2,6,2,8,2,1,0,0,0,0,0,50,40-50,70K-80K
702,Undergraduate,Widow,47682.0,0,1,2013-02-15,80,162,61,83,97,57,4,4,3,8,5,0,0,0,0,0,0,46,40-50,40K-50K
709,Graduation,Divorced,51537.0,0,1,2012-09-12,27,787,20,204,0,0,3,2,2,11,8,0,0,0,0,0,0,69,60-70,50K-60K
713,Master,Married,50353.0,0,0,2014-08-06,72,141,15,153,67,31,1,4,4,6,3,0,0,0,0,0,0,44,40-50,50K-60K
716,PhD,Together,67911.0,0,1,2014-05-22,63,529,0,356,63,28,3,6,7,11,3,0,0,0,0,0,0,72,70-80,60K-70K
736,Graduation,Together,28427.0,1,0,2013-03-21,67,18,3,19,3,3,2,2,0,3,8,0,0,0,0,0,0,38,30-40,20K-30K
737,PhD,Married,80360.0,0,0,2013-03-03,56,1493,86,454,112,43,2,4,4,5,2,0,1,1,1,0,0,72,70-80,80K-90K
738,Undergraduate,Single,42395.0,1,1,2014-04-04,35,48,13,57,24,15,4,3,1,4,7,0,0,0,0,0,0,40,30-40,40K-50K
749,Graduation,Together,42162.0,1,0,2013-11-19,31,46,7,59,2,4,2,3,1,3,6,1,0,0,0,0,0,40,30-40,40K-50K
760,PhD,Divorced,60554.0,1,0,2013-09-08,8,588,7,76,110,15,2,8,4,9,6,0,0,0,0,0,0,46,40-50,60K-70K
762,Undergraduate,Together,75774.0,1,0,2014-02-05,27,340,21,134,258,14,1,7,5,8,4,0,0,0,0,0,0,40,30-40,70K-80K
771,Graduation,Together,54178.0,0,1,2014-01-21,79,135,9,39,4,0,1,2,2,5,2,0,0,0,0,0,0,54,50-60,50K-60K
773,Master,Divorced,42835.0,1,1,2013-06-30,64,379,4,93,12,9,7,6,6,4,6,0,0,0,0,0,0,50,40-50,40K-50K
793,Graduation,Married,20895.0,1,0,2012-06-10,24,18,3,17,3,0,1,2,0,3,9,0,0,0,0,0,0,48,40-50,20K-30K
796,Undergraduate,Divorced,60161.0,0,1,2012-10-23,17,584,44,212,46,8,3,11,4,8,8,0,0,0,0,0,0,56,50-60,60K-70K
798,Graduation,Single,23442.0,1,0,2012-12-24,71,2,0,6,8,6,1,1,0,3,7,0,0,0,0,0,0,34,30-40,20K-30K
800,Graduation,Together,44512.0,1,1,2013-08-30,57,23,1,6,0,0,2,1,0,3,4,0,0,0,0,0,0,61,60-70,40K-50K
803,Graduation,Together,40521.0,1,1,2013-05-04,82,12,0,5,0,0,1,0,1,2,5,0,0,0,0,0,0,53,50-60,40K-50K
807,Master,Together,44602.0,1,1,2014-02-15,35,167,2,89,0,0,6,6,1,4,8,0,0,0,0,0,0,52,50-60,40K-50K
810,Graduation,Married,74190.0,0,1,2014-12-05,49,151,81,86,168,91,2,4,2,11,2,0,0,0,0,0,0,46,40-50,70K-80K
819,Graduation,Widow,63285.0,0,0,2013-05-11,84,508,124,249,50,38,1,6,5,13,3,0,0,0,0,0,0,76,70-80,60K-70K
821,Master,Single,92859.0,0,0,2012-10-19,46,962,61,921,52,61,1,5,4,12,2,0,0,0,0,0,0,29,20-30,90K-100K
830,PhD,Single,74004.0,0,0,2014-02-24,5,784,48,560,42,176,1,4,6,4,3,0,0,1,1,0,0,34,30-40,70K-80K
832,PhD,Together,65814.0,0,1,2014-02-03,90,561,14,113,10,14,3,8,2,10,5,0,0,0,0,0,0,55,50-60,60K-70K
833,Master,Married,38452.0,1,1,2014-03-30,62,56,0,14,0,0,3,3,0,3,7,0,0,0,0,0,0,66,60-70,30K-40K
837,Graduation,Married,54809.0,1,1,2013-11-09,0,63,6,57,13,13,4,2,1,5,4,0,0,0,0,0,0,44,40-50,50K-60K
839,PhD,Married,45503.0,1,0,2013-09-25,54,97,4,44,6,1,1,3,1,4,5,0,0,0,0,0,0,46,40-50,40K-50K
843,Graduation,Married,64722.0,1,0,2014-05-26,47,303,0,280,60,147,4,8,2,11,6,0,0,0,0,0,0,50,40-50,60K-70K
849,Master,Together,56129.0,0,1,2013-06-20,65,320,48,133,39,72,4,6,2,10,4,0,0,0,0,0,0,68,60-70,50K-60K
850,Graduation,Single,70566.0,0,1,2013-06-10,4,381,28,215,84,28,2,6,5,9,3,0,0,0,0,0,0,53,50-60,70K-80K
851,Master,Married,57136.0,1,1,2013-09-07,48,306,5,109,21,109,9,5,2,10,6,0,0,0,0,0,0,49,40-50,50K-60K
868,Graduation,Married,44794.0,0,1,2014-08-06,99,54,0,7,0,0,1,2,0,3,6,0,0,0,0,0,0,55,50-60,40K-50K
873,Master,Married,62845.0,1,1,2012-01-10,3,1099,0,45,0,0,11,3,4,10,8,0,1,0,0,0,0,72,70-80,60K-70K
879,Master,Married,49681.0,0,2,2013-04-11,66,411,0,26,0,0,6,7,1,7,7,0,0,0,0,0,0,45,40-50,40K-50K
880,Basic,Together,22634.0,0,0,2013-01-16,47,2,23,11,8,6,1,2,1,2,8,0,0,0,0,0,0,55,50-60,20K-30K
891,Master,Together,29298.0,1,1,2013-07-09,60,6,0,2,2,0,1,1,0,2,5,0,0,0,0,0,0,70,60-70,20K-30K
895,PhD,Married,61467.0,0,2,2012-09-12,69,410,16,114,0,5,3,5,2,10,5,0,0,0,0,0,0,73,70-80,60K-70K
898,Graduation,Married,23477.0,1,0,2013-10-21,39,38,15,54,3,8,3,3,0,4,8,0,0,0,0,0,0,35,30-40,20K-30K
902,Graduation,Together,62994.0,1,0,2014-04-03,74,224,12,48,4,12,1,6,2,4,6,0,0,0,0,0,0,41,40-50,60K-70K
905,Graduation,Divorced,21846.0,1,0,2013-10-22,38,7,17,18,6,10,4,4,0,3,8,0,0,0,0,0,0,35,30-40,20K-30K
907,Graduation,Married,46149.0,0,1,2013-11-29,36,254,6,71,4,0,5,5,1,7,5,0,0,0,0,0,0,46,40-50,40K-50K
916,PhD,Single,41644.0,1,1,2014-09-05,67,20,3,4,2,0,2,1,0,3,3,0,0,0,0,0,0,49,40-50,40K-50K
922,Undergraduate,Married,31086.0,1,1,2013-04-05,79,16,2,11,3,0,2,1,1,2,8,1,0,0,0,0,0,42,40-50,30K-40K
933,PhD,Married,37717.0,1,0,2012-11-23,31,9,0,6,4,1,1,1,0,2,9,0,0,0,0,0,0,43,40-50,30K-40K
938,Graduation,Married,40211.0,1,1,2013-07-30,30,51,1,7,2,1,2,2,1,2,8,1,0,0,0,0,0,40,30-40,40K-50K
940,Graduation,Single,57100.0,1,0,2014-05-18,9,158,11,99,15,11,2,3,2,7,3,0,0,0,0,0,0,34,30-40,50K-60K
942,Graduation,Single,39660.0,1,0,2012-08-08,36,139,13,78,20,13,3,7,1,3,9,0,0,0,0,0,0,39,30-40,30K-40K
944,Graduation,Married,56181.0,0,1,2013-08-01,6,121,103,69,8,44,1,4,2,7,4,0,0,0,0,0,0,59,50-60,50K-60K
945,Graduation,Together,36317.0,0,1,2013-05-22,53,87,3,25,3,2,2,3,0,4,7,0,0,0,0,0,0,56,50-60,30K-40K
946,Undergraduate,Together,26490.0,0,0,2012-09-22,92,45,47,52,21,20,2,3,1,5,6,0,0,0,0,0,0,63,60-70,20K-30K
948,Graduation,Single,10245.0,1,0,2013-05-15,32,4,7,7,6,4,3,1,2,2,5,0,0,0,0,0,0,50,40-50,Below 20K
954,Basic,Widow,22123.0,0,0,2014-03-27,77,3,3,24,34,7,1,2,1,3,5,0,0,0,0,0,0,61,60-70,20K-30K
955,Master,Together,47175.0,1,1,2012-10-28,81,167,2,44,6,2,7,4,2,4,8,1,0,0,0,0,0,59,50-60,40K-50K
961,Graduation,Married,74716.0,0,1,2013-12-09,92,133,27,421,13,195,2,7,3,5,4,0,0,0,0,0,0,49,40-50,70K-80K
965,Graduation,Divorced,55635.0,0,1,2012-11-13,34,235,65,164,50,49,4,7,3,7,6,0,0,0,0,0,0,50,40-50,50K-60K
966,Graduation,Married,44529.0,0,1,2013-05-07,98,538,13,91,17,6,6,6,2,11,5,0,1,0,0,0,0,55,50-60,40K-50K
967,Graduation,Married,46049.0,1,1,2013-07-21,11,342,9,112,19,14,10,5,2,9,7,0,0,0,0,0,0,45,40-50,40K-50K
